"JOURNEY_ID","TOKEN_ID","TRANSIT_ACCOUNT_ID","NUM_TRIP_LEGS","ORIGIN_TRIP_ID","ORIG_WHARF","ENTRY_STOP_ID","DEST_TRIP_ID","DEST_WHARF","EXIT_STOP_ID","ORIG_ENTRY_DTM","DEST_EXIT_DTM","FARE_ACTUAL","FARE_EXPECTED","UNDERCHARGE_AMT"
7671873,1132047,100010846143,2,7870894,"Circular Quay No. 3 Wharf","936",7870894,"Circular Quay No. 3 Wharf","936",29/JUL/19 19:18:14,29/JUL/19 19:18:14,565,765,200
7667624,1551003,100014668360,2,7864856,"Circular Quay No. 3 Wharf","936",7864859,"Manly Ferry Wharf","939",29/JUL/19 15:41:00,29/JUL/19 17:13:52,1530,765,-765
7667484,1551002,100014668352,2,7864840,"Circular Quay No. 3 Wharf","936",7864847,"Manly Ferry Wharf","939",29/JUL/19 15:41:01,29/JUL/19 17:13:35,1530,765,-765
7667200,1551008,100014668352,2,7864919,"Circular Quay No. 3 Wharf","936",7864922,"Manly Ferry Wharf","939",29/JUL/19 15:40:59,29/JUL/19 17:13:34,1530,765,-765
7667051,1551007,100014668360,2,7864907,"Circular Quay No. 3 Wharf","936",7864915,"Manly Ferry Wharf","939",29/JUL/19 15:41:04,29/JUL/19 17:13:49,1530,765,-765
7666923,1551006,100014668394,2,7864889,"Circular Quay No. 3 Wharf","936",7864895,"Manly Ferry Wharf","939",29/JUL/19 15:40:45,29/JUL/19 17:13:44,1530,765,-765
7666744,1551014,100014668451,2,7864975,"Circular Quay No. 3 Wharf","936",7864978,"Manly Ferry Wharf","939",29/JUL/19 15:41:39,29/JUL/19 17:13:42,1530,765,-765
7666480,1549833,100014658817,2,7864234,"Manly Ferry Wharf","939",7864241,"Meadowbank Ferry Wharf","980",29/JUL/19 16:06:35,29/JUL/19 17:39:37,765,765,0
7658027,1427586,100013577703,2,7855595,"Circular Quay No. 3 Wharf","936",7855595,"Circular Quay No. 3 Wharf","936",29/JUL/19 14:49:15,29/JUL/19 14:49:15,565,765,200
7657976,728733,100007080763,2,7855574,"Circular Quay No. 3 Wharf","936",7855574,"Circular Quay No. 3 Wharf","936",29/JUL/19 14:49:07,29/JUL/19 14:49:07,565,765,200
7656917,1550425,100014663601,2,7854348,"Milsons Point Ferry Wharf","963",7854349,"Circular Quay No. 3 Wharf","936",29/JUL/19 13:36:36,29/JUL/19 13:48:43,612,765,153
7656836,997460,100009594779,2,7854303,"Circular Quay No. 3 Wharf","936",7854303,"Circular Quay No. 3 Wharf","936",29/JUL/19 13:57:01,29/JUL/19 13:57:01,565,765,200
7656616,1550173,100014661514,2,7853120,"Circular Quay No. 3 Wharf","936",7854268,"Manly Ferry Wharf","939",29/JUL/19 12:36:46,29/JUL/19 13:43:04,1530,765,-765
7656354,1549973,100014659971,2,7852618,"Circular Quay No. 3 Wharf","936",7852618,"Circular Quay No. 3 Wharf","936",29/JUL/19 12:10:13,29/JUL/19 12:10:13,565,765,200
7656305,1547524,100014642829,2,7853688,"Circular Quay No. 3 Wharf","936",7853688,"Circular Quay No. 3 Wharf","936",29/JUL/19 13:18:08,29/JUL/19 13:18:08,432,765,333
7656058,1549846,100014658932,2,7852679,"Circular Quay No. 3 Wharf","936",7852679,"Circular Quay No. 3 Wharf","936",29/JUL/19 11:48:36,29/JUL/19 11:48:36,565,765,200
7655996,1057453,100010156832,2,7854224,"Circular Quay No. 3 Wharf","936",7854224,"Circular Quay No. 3 Wharf","936",29/JUL/19 13:54:22,29/JUL/19 13:54:22,565,765,200
7655983,1549997,100014660193,2,7852816,"Circular Quay No. 3 Wharf","936",7854425,"Manly Ferry Wharf","939",29/JUL/19 11:58:24,29/JUL/19 14:01:13,1530,765,-765
7655932,1549995,100014660185,2,7852797,"Circular Quay No. 3 Wharf","936",7854424,"Manly Ferry Wharf","939",29/JUL/19 11:58:14,29/JUL/19 14:01:09,1530,765,-765
7655931,1549833,100014658817,2,7852531,"Meadowbank Ferry Wharf","980",7852539,"Circular Quay No. 3 Wharf","936",29/JUL/19 11:18:55,29/JUL/19 12:44:29,765,765,0
7655861,1549994,100014660177,2,7852788,"Circular Quay No. 3 Wharf","936",7854426,"Manly Ferry Wharf","939",29/JUL/19 11:58:09,29/JUL/19 14:01:05,1530,765,-765
7655739,1549818,100014658692,2,7852403,"Circular Quay No. 3 Wharf","936",7852408,"Manly Ferry Wharf","939",29/JUL/19 11:15:27,29/JUL/19 12:38:30,1530,765,-765
7655726,1549469,100014655946,2,7852836,"Manly Ferry Wharf","939",7855973,"Olympic Park Ferry Wharf","982",29/JUL/19 13:12:02,29/JUL/19 15:07:05,765,765,0
7655723,1549817,100014658684,2,7852388,"Circular Quay No. 3 Wharf","936",7852392,"Manly Ferry Wharf","939",29/JUL/19 11:15:25,29/JUL/19 12:38:29,1530,765,-765
7655693,1549649,100003493960,2,7852022,"Circular Quay No. 3 Wharf","936",7852022,"Circular Quay No. 3 Wharf","936",29/JUL/19 12:04:47,29/JUL/19 12:04:47,565,765,200
7655569,1549709,100014657819,2,7852629,"Barangaroo Wharf 2","960",7852635,"Circular Quay No. 3 Wharf","936",29/JUL/19 10:49:54,29/JUL/19 11:17:51,612,765,153
7655493,1549459,100014655862,2,7852682,"Circular Quay No. 3 Wharf","936",7852689,"Manly Ferry Wharf","939",29/JUL/19 09:57:29,29/JUL/19 11:40:39,1530,765,-765
7655347,1549458,100014655854,2,7852667,"Circular Quay No. 3 Wharf","936",7852671,"Manly Ferry Wharf","939",29/JUL/19 09:57:26,29/JUL/19 11:40:37,1530,765,-765
7654952,1549384,100014655292,2,7853121,"Circular Quay No. 3 Wharf","936",7853121,"Circular Quay No. 3 Wharf","936",29/JUL/19 10:11:43,29/JUL/19 10:11:43,565,765,200
7653618,535815,100005243579,2,7854686,"Circular Quay No. 3 Wharf","936",7854686,"Circular Quay No. 3 Wharf","936",29/JUL/19 14:11:27,29/JUL/19 14:11:27,565,765,200
7653557,1546638,100008882431,2,7849893,"Circular Quay No. 3 Wharf","936",7849893,"Circular Quay No. 3 Wharf","936",29/JUL/19 12:26:48,29/JUL/19 12:26:48,565,765,200
7653311,1540392,100014580128,2,7849456,"Circular Quay No. 3 Wharf","936",7849467,"Manly Ferry Wharf","939",29/JUL/19 10:51:43,29/JUL/19 12:43:47,1530,765,-765
7653273,1546637,100014636300,2,7849871,"Circular Quay No. 3 Wharf","936",7849871,"Circular Quay No. 3 Wharf","936",29/JUL/19 12:26:49,29/JUL/19 12:26:49,565,765,200
7653172,1540391,100014580110,2,7849441,"Circular Quay No. 3 Wharf","936",7849450,"Manly Ferry Wharf","939",29/JUL/19 10:51:44,29/JUL/19 12:43:46,1530,765,-765
7650562,1301530,100012429427,2,7847836,"Circular Quay No. 3 Wharf","936",7847836,"Circular Quay No. 3 Wharf","936",29/JUL/19 11:48:33,29/JUL/19 11:48:33,565,765,200
7649008,1103408,100010585030,2,7845881,"Circular Quay No. 3 Wharf","936",7845881,"Circular Quay No. 3 Wharf","936",29/JUL/19 10:15:01,29/JUL/19 10:15:01,565,765,200
7647964,1045995,100008105007,2,7844842,"Circular Quay No. 3 Wharf","936",7844842,"Circular Quay No. 3 Wharf","936",29/JUL/19 12:10:06,29/JUL/19 12:10:06,565,765,200
7647711,1045032,100000063279,2,7844485,"Circular Quay No. 3 Wharf","936",7844485,"Circular Quay No. 3 Wharf","936",29/JUL/19 10:55:17,29/JUL/19 10:55:17,765,765,0
7641449,511816,100005016140,2,7838010,"Circular Quay No. 3 Wharf","936",7838010,"Circular Quay No. 3 Wharf","936",29/JUL/19 07:08:40,29/JUL/19 07:08:40,565,765,200
7640737,1107104,100010617148,2,7837375,"Circular Quay No. 3 Wharf","936",7837375,"Circular Quay No. 3 Wharf","936",29/JUL/19 06:15:48,29/JUL/19 06:15:48,565,765,200
7640677,1547297,100014641292,3,7837257,"Circular Quay No. 3 Wharf","936",7850985,"Manly Ferry Wharf","939",29/JUL/19 06:02:50,29/JUL/19 06:56:20,1130,765,-365
7640638,15482,100000149714,3,7837100,"Barangaroo Wharf 2","960",7837895,"Manly Ferry Wharf","939",29/JUL/19 05:29:13,29/JUL/19 06:56:19,1530,765,-765
7640462,155654,100001547346,7,7837250,"Circular Quay No. 3 Wharf","936",7837894,"Manly Ferry Wharf","939",29/JUL/19 06:02:51,29/JUL/19 06:56:23,1130,765,-365
